Announcement Date,Parent Company,Company,Facility Name,Phase,City,State,Manufacturing Focus,Component Category,EV/Battery Production,Announcement Effective Year,Existing Union?,Announced EV Investment,Announced EV Jobs,Congressional District,30D Eligible (Defunct),Federal Funding Received,Federal Program,Source,Address,latitude,longitude
8/15/24,Piedmont Lithium,Piedmont Lithium,North Etowah Industrial Park Facility,Update,Etowah,TN,Minerals,Lithium,Canceled,2024,No Evidence,"($800,000,000)",-117,NA,No Evidence,$0,None,https://www.bizjournals.com/charlotte/news/2024/08/15/piedmont-lithium-carolina-gaston-tennessee-mine.html,"North Etowah Industrial Park Facility, Etowah, TN",35.34202,-84.5291
8/12/24,Lear Corporation,Lear Corporation,Independence Township EV Component Factory,Update,Independence Township,MI,Parts,Battery Disconnect Units; Other Electrification Components,Canceled,2025,No Evidence,"($80,000,000)",-167,MI09,No Evidence,$0,None,https://www.ft.com/content/afb729b9-9641-42b2-97ca-93974c461c4c,"Independence Township EV Component Factory, Independence Township, MI",42.74926,-83.38905
8/12/24,Lear Corporation,Lear Corporation,Traverse City EV Component Factory,Update,Traverse City,MI,Batteries,Battery Pack Components,Canceled,2025,Good Evidence,"($16,250,000)",-167,MI01,No Evidence,$0,None,https://www.ft.com/content/afb729b9-9641-42b2-97ca-93974c461c4c,"Traverse City EV Component Factory, Traverse City, MI",45.439219226781,-84.991910707923
8/8/24,Magna International,Magna International,Waymo Driver Integration Plant,Original,Mesa,AZ,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,NA,No Evidence,NA,NA,AZ05,No Evidence,$0,None,https://www.azcommerce.com/news-events/news/2024/8/north-america-s-largest-automotive-supplier-to-build-manufacturing-facility-in-mesa/,"Waymo Driver Integration Plant, Mesa, AZ",33.4151797,-111.8315
8/2/24,Applied Materials,Applied Materials,Lynchburg Facility,Update,NA,VA,Batteries,Anodes,Canceled,2024,No Evidence,"($112,005,218)",-45,NA,No Evidence,"($50,000,000)",Battery Materials Processing and Battery Manufacturing Recycling Grants,https://cardinalnews.org/2024/08/02/battery-plant-backed-by-100-million-federal-grant-no-longer-planned-for-lynchburg/,"Lynchburg Facility, NA, VA",37.414345,-79.143204
7/29/24,Foxlink,Foxlink,Foxlink Arizona Facility,Expansion 1,Phoenix,AZ,Batteries,Modules; Packs,Planned,NA,No Evidence,"$10,000,000",50,AZ08,No Evidence,$0,None,https://www.businesswire.com/news/home/20240726311983/en/Foxlink-Expands-Green-Energy-Manufacturing-Footprint-in-the-United-States,"Foxlink Arizona Facility, Phoenix, AZ",33.448204,-112.0725848
7/29/24,Foxlink,Foxlink,Foxlink Arizona Facility,Expansion 1,Phoenix,AZ,EV Charging,Charging Units,Planned,NA,No Evidence,"$10,000,000",50,AZ08,No Evidence,$0,None,https://www.businesswire.com/news/home/20240726311983/en/Foxlink-Expands-Green-Energy-Manufacturing-Footprint-in-the-United-States,"Foxlink Arizona Facility, Phoenix, AZ",33.448204,-112.0725848
7/23/24,General Motors,General Motors,Orion Factory,Update,Lake Orion,MI,Batteries,Packs; Modules,Operational,NA,Good Evidence,NA,NA,MI09,Good Evidence,$0,None,https://eu.freep.com/story/money/cars/general-motors/2024/07/23/gm-orion-assembly-plant-restart-delay/74509737007/,"Orion Factory, Lake Orion, MI",42.786894388437,-83.235427318005
7/23/24,Windrose,Windrose,Windrose Semi Assembly Plant,Original,NA,GA,Heavy-Duty (Class 7-8),Vehicle Assembly,Planned,2025,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.reuters.com/business/autos-transportation/windrose-plans-truck-assembly-us-rare-move-by-chinese-ev-firm-2024-07-23/,"Windrose Semi Assembly Plant, NA, GA",0.82105,11.6584
7/22/24,Octillion Power Systems,Octillion Power Systems,Nevada One,Original,Reno,NV,Batteries,Packs,Operational,2025,No Evidence,NA,NA,NV02,No Evidence,$0,None,https://octillion.us/newsroom/news-article-2,"Nevada One, Reno, NV",39.5225391,-119.7065449
7/19/24,Futronic,Futronic,Futronic Buda Manufacturing Facility,Original,Buda,TX,Parts,EV Motors; Other Electrification Components,Planned,2025,No Evidence,"$28,000,000",350,TX35,No Evidence,$0,None,https://www.beaumontenterprise.com/business/article/tesla-supplier-buda-19582684.php,"Futronic Buda Manufacturing Facility, Buda, TX",30.0826648,-97.842482
7/13/24,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Batteries,Cells; Modules; Packs,Under Construction,2028,No Evidence,NA,NA,NC04,No Evidence,$0,None,https://www.reuters.com/business/autos-transportation/vietnams-vinfast-delays-us-electric-car-plant-amid-market-slowdown-2024-07-13/,"Chatham County Facility, Moncure, NC",35.622969,-79.076953
7/13/24,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Multiple Classes,Vehicle Assembly,Under Construction,2028,No Evidence,NA,NA,NC04,No Evidence,$0,None,https://www.reuters.com/business/autos-transportation/vietnams-vinfast-delays-us-electric-car-plant-amid-market-slowdown-2024-07-13/,"Chatham County Facility, Moncure, NC",35.622969,-79.076953
7/11/24,Blue Bird,Blue Bird,Blue Bird Conversion Facility,Original,NA,GA,Heavy-Duty (Class 7-8),Vehicle Assembly,Planned,NA,Good Evidence,"$160,000,000",428,NA,No Evidence,"$79,728,146",Domestic Manufacturing Conversion Grant Program,https://investors.blue-bird.com/news-financial-reporting/press-releases/news-details/2024/Blue-Bird-Selected-to-Receive-80-Million-Federal-Grant-to-Expand-Electric-Vehicle-Manufacturing/default.aspx,"Blue Bird Conversion Facility, NA, GA",0.82105,11.6584
7/11/24,Cummins,Cummins,Cummins Columbus Engine Plant,Expansion 1,Columbus,IN,Parts,Electric Powertrains,Planned,NA,Some Evidence,"$150,000,000",250,IN06,No Evidence,"$75,000,000",Domestic Manufacturing Conversion Grant Program,"https://fox59.com/indiana-news/columbus-kokomo-auto-facilities-to-receive-multi-million-investment-from-doe/#:~:text=The%20release%20said%20Cummins%20in,%E2%80%9Cleader%20in%20electrified%20technologies.%E2%80%9D","Cummins Columbus Engine Plant, Columbus, IN",39.130766,-85.950509
7/11/24,General Motors,General Motors,Lansing Grand River,Expansion 1,Lansing,MI,Light-Duty (Class 1-2),Vehicle Assembly,Planned,NA,Good Evidence,"$150,000,000",700,MI07,No Evidence,"$500,000,000",Domestic Manufacturing Conversion Grant Program,https://news.gm.com/newsroom.detail.html/Pages/news/us/en/2024/jul/0711-lgr.html,"Lansing Grand River, Lansing, MI",42.722703,-84.561582
7/11/24,Hyundai Motor Group,Hyundai Mobis,Mobis North Toledo Battery Assembly Facility,Expansion 1,Toledo,OH,Batteries,Modules,Under Construction,2024,No Evidence,"$32,617,879",NA,OH09,No Evidence,"$8,154,470",Domestic Manufacturing Conversion Grant Program,https://www.toledoblade.com/business/development/2024/07/11/32-million-federal-grant-helps-grow-ev-operations-in-toledo/stories/20240710125,"Mobis North Toledo Battery Assembly Facility, Toledo, OH",41.655298,-83.535717
7/11/24,Hyundai Motor Group,Hyundai Mobis,Mobis Toledo Assembly Plant,Original,Toledo,OH,Light-Duty (Class 1-2),Vehicle Assembly,Planned,NA,Good Evidence,"$32,617,879",383,OH09,No Evidence,"$16,308,940",Domestic Manufacturing Conversion Grant Program,https://www.toledoblade.com/business/development/2024/07/11/32-million-federal-grant-helps-grow-ev-operations-in-toledo/stories/20240710125,"Mobis Toledo Assembly Plant, Toledo, OH",41.698618,-83.521458
7/11/24,Stellantis,Stellantis,Belvidere Assembly Plant,Original,Belvidere,IL,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2027,Good Evidence,"$1,500,000,000",1500,IL16,No Evidence,$0,Domestic Manufacturing Conversion Grant Program,https://gov-pritzker-newsroom.prezly.com/governor-pritzker-announces-334-million-domestic-manufacturing-conversion-grant-from-the-us-department-of-energy,"Belvidere Assembly Plant, Belvidere, IL",42.24113,-88.87316
7/11/24,Stellantis,Stellantis,Indiana Transmission Plant,Expansion 1,Kokomo,IN,Parts,EV Drive Units,Planned,NA,Good Evidence,"$249,999,999",585,IN05,No Evidence,"$249,999,999",Domestic Manufacturing Conversion Grant Program,"https://www.insideindianabusiness.com/articles/biden-administration-awards-325m-to-upgrade-indiana-plants-for-ev-components-production#:~:text=Stellantis%20will%20receive%20%24250%20million,and%20upskilling%20of%20585%20employees.","Indiana Transmission Plant, Kokomo, IN",40.528454,-86.122548
7/11/24,ZF Fridrichshafen AG,ZF,ZF Axle Drives Marysville,Original,Marysville,MI,Parts,Electric Axles,Canceled,NA,Good Evidence,"$157,714,011",536,MI09,No Evidence,NA,Domestic Manufacturing Conversion Grant Program,https://www.stabenow.senate.gov/news/senators-stabenow-peters-applaud-a-more-than-657-million-federal-investment-to-convert-auto-plants-in-lansing-and-maryville-for-electric-vehicle-production,"ZF Axle Drives Marysville, Marysville, MI",42.903913,-82.479689
6/24/24,ElringKlinger,ElringKlinger,ElringKlinger Pickens Manufacturing Facility,Original,NA,SC,Batteries,Battery Pack Components,Operational,2025,No Evidence,"$40,300,000",115,SC03,No Evidence,$0,None,https://governor.sc.gov/news/2024-06/elringklinger-group-selects-pickens-county-establish-first-south-carolina-operation,"ElringKlinger Pickens Manufacturing Facility, NA, SC",-4.678652264,55.467262116
6/11/24,ElectricFish,ElectricFish,ElectricFish Charging Infrastructure Facility,Original,San Carlos,CA,EV Charging,Charging Units,Operational,2024,No Evidence,NA,NA,CA15,No Evidence,$0,None,https://www.morningstar.com/news/business-wire/20240610236797/electricfish-opens-first-intelligent-grid-ev-infrastructure-manufacturing-facility-in-california,"ElectricFish Charging Infrastructure Facility, San Carlos, CA",37.503733,-122.264927
6/10/24,"LG Corporation, Toyota Motor Company",Green Metals Battery Innovations,Green Metals North Carolina Battery Recycling Facility,Original,Liberty,NC,Battery Recycling,Recycling,Planned,2025,No Evidence,"$19,800,000",47,NC09,No Evidence,$0,None,https://www.wfmynews2.com/article/news/community/a-new-electric-vehicle-battery-waste-handling-plant-coming-to-liberty-north-carolina/83-6591ce60-63aa-435d-a2be-9937f028d48e,"Green Metals North Carolina Battery Recycling Facility, Liberty, NC",35.853638,-79.570561
5/9/24,General Motors,General Motors,GM Fairfax Assembly Plant,Original,Kansas City,KS,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2025,Good Evidence,"$390,000,000",NA,KS02,Good Evidence,$0,None,https://www.kshb.com/news/local-news/gm-to-retire-malibu-retool-kck-fairfax-assembly-plant-for-bolt-ev,"GM Fairfax Assembly Plant, Kansas City, KS",39.14167,-94.61273
5/2/24,Green New Energy Materials,Green New Energy Materials,GNEM Denver Facility,Original,Denver,NC,Batteries,Separators,Planned,NA,No Evidence,"$70,000,000",273,NC10,No Evidence,$0,None,"https://governor.nc.gov/news/press-releases/2024/05/02/north-carolinas-success-clean-energy-economy-continues-545-new-jobs-coming-lincoln-county#:~:text=GNEM's%20project%20in%20North%20Carolina,state's%20economy%20by%20%241.15%20billion.","GNEM Denver Facility, Denver, NC",35.531952,-81.030357
5/2/24,Rivian,Rivian,Normal Factory,Expansion 1,Normal,IL,Multiple Classes,Vehicle Assembly,Operational,2026,No Evidence,"$1,500,000,000",550,IL17,Good Evidence,$0,None,https://gov-pritzker-newsroom.prezly.com/gov-pritzker-and-rivian-announce-15-billion-investment-in-normal-facility,"Normal Factory, Normal, IL",40.518091,-88.995074
4/26/24,Tesla,Tesla,Gigafactory Nevada,Update,Sparks,NV,Batteries,Packs,Operational,2025,No Evidence,NA,-693,NV02,No Evidence,$0,None,https://www.reviewjournal.com/business/tesla-to-lay-off-nearly-700-in-nevada-as-car-sales-slump-3041005/?utm_campaign=widget&utm_medium=section_row&utm_source=entertainment&utm_term=Tesla+to+lay+off+nearly+700+in+Nevada+as+car+sales+slump&utm_medium=email,"Gigafactory Nevada, Sparks, NV",39.540664,-119.439341
4/25/24,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Indiana,Expansion 1,Princeton,IN,Batteries,Packs,Canceled,2026,No Evidence,"$700,000,000",170,IN08,No Evidence,$0,None,https://pressroom.toyota.com/toyota-charges-up-investment-and-jobs-in-u-s-manufacturing/,"Toyota Motor Manufacturing Indiana, Princeton, IN",38.300335,-87.553379
4/25/24,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Indiana,Expansion 1,Princeton,IN,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"$700,000,000",170,IN08,No Evidence,$0,None,https://pressroom.toyota.com/toyota-charges-up-investment-and-jobs-in-u-s-manufacturing/,"Toyota Motor Manufacturing Indiana, Princeton, IN",38.300335,-87.553379
4/24/24,Tesla,Tesla,Gigafactory 5,Update,Austin,TX,Multiple Classes,Vehicle Assembly,Operational,2024,No Evidence,NA,-2688,TX35,Good Evidence,$0,None,https://www.houstonchronicle.com/business/article/tesla-layoffs-hit-2-688-austin-area-employees-19417974.php?utm_medium=email,"Gigafactory 5, Austin, TX",30.264979,-97.746598
4/23/24,Tesla,Tesla,Tesla Fremont Factory,Update,Fremont,CA,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2024,No Evidence,NA,-1452,CA17,Good Evidence,NA,Loan Programs Office (LPO),https://www.ktvu.com/news/tesla-to-lay-off-thousands-of-employees-in-fremont-and-palo-alto,"Tesla Fremont Factory, Fremont, CA",37.545665,-121.985069
4/22/24,Bollinger Innovations,Mullen Automotive,Mullen Fullerton,Update,Fullerton,CA,Batteries,Cells; Packs,Under Construction,2025,No Evidence,NA,200,CA46,No Evidence,$0,None,https://news.mullenusa.com/mullens-new-high-energy-facility-marks-phase-one-completion-of-battery-pack-assembly-line,"Mullen Fullerton, Fullerton, CA",33.870345,-117.924302
4/17/24,Tesla,Tesla,Gigafactory 2,Update,Buffalo,NY,EV Charging,Charging Units,Operational,2024,No Evidence,NA,-284,NY26,No Evidence,$0,None,https://www.cnbc.com/2024/04/17/tesla-is-laying-off-285-employees-in-buffalo-new-york-as-part-of-a-broad-restructuring.html,"Gigafactory 2, Buffalo, NY",42.85973,-78.84123
4/12/24,Honda Motor Company,Honda,Marysville Auto Plant,Update,Marysville,OH,Batteries,Packs,Canceled,2025,No Evidence,NA,300,OH04,Good Evidence,$0,None,https://hondanews.com/en-US/honda-corporate/releases/release-c0e904130abdddafe05400397a01473d-honda-progress-in-establishment-of-ev-hub-in-ohio-will-lead-to-ev-production-in-north-america,"Marysville Auto Plant, Marysville, OH",40.2767,-83.507149
4/12/24,Orion SA,Orion SA,La Porte Additives Facility,Update,La Porte,TX,Batteries,Electrolytes and Electrolyte Inputs,Under Construction,2025,No Evidence,NA,NA,TX36,No Evidence,$0,None,https://investor.orioncarbons.com/financial-press-releases/press-releases-details/2024/Orion-S.A.-Breaks-Ground-on-Battery-Materials-Plant-in-Texas/default.aspx,"La Porte Additives Facility, La Porte, TX",29.6641635,-95.0192828
4/11/24,EnergiSpot,EnergiSpot,EnergiSpot VERK Plant,Original,Spanish Fork,UT,EV Charging,Charging Units,Planned,NA,No Evidence,"$7,300,000",90,NA,No Evidence,NA,None,https://business.utah.gov/tax-credits/energispot-to-grow-in-utah-county/,"EnergiSpot VERK Plant, Spanish Fork, UT",40.115007,-111.654713
4/11/24,Green Li-ion,Green Li-ion,Oklahoma Recycling Facility,Update,Atoka,OK,Battery Recycling,Remanufacturing,Operational,2024,No Evidence,NA,20,OK02,No Evidence,$0,None,https://www.greenli-ion.com/post/green-li-ion-launches-north-americas-first-commercial-scale-plant-to-produce-recycled-lithium-ion-engineered-battery-materials,"Oklahoma Recycling Facility, Atoka, OK",35.470233,-97.614998
4/8/24,Graphjet Technology,Graphjet,Nevada Artificial Graphite Facility,Original,NA,NV,Minerals,Graphite,Planned,2026,No Evidence,"$175,000,000",500,NA,No Evidence,$0,None,https://www.globenewswire.com/news-release/2024/04/08/2859056/0/en/Graphjet-Technology-to-Build-New-Agricultural-Waste-to-Graphite-Production-Facility-in-Nevada.html,"Nevada Artificial Graphite Facility, NA, NV",39.356482037,-116.655436405
4/5/24,Ford Motor Company,Ford,BlueOval Tennessee Truck Plant,Update,Stanton,TN,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,NA,NA,TN08,Good Evidence,NA,Loan Programs Office (LPO),https://tennesseestar.com/economy/ford-delays-production-of-new-electric-truck-to-be-manufactured-at-blueoval-city/khousler/2024/04/05/,"BlueOval Tennessee Truck Plant, Stanton, TN",35.464095,-89.402431000000007
4/1/24,Tesla,Tesla,Gigafactory 5,Update,Austin,TX,Multiple Classes,Vehicle Assembly,Operational,2024,No Evidence,NA,2277,TX35,Good Evidence,$0,None,https://www.bloomberg.com/news/articles/2024-04-01/elon-musk-boosts-headcount-by-86-at-tesla-tsla-site-anchoring-texas-empire,"Gigafactory 5, Austin, TX",30.264979,-97.746598
3/27/24,Arrival,Arrival,Charlotte Microfactory,Update,Charlotte,NC,Multiple Classes,Vehicle Assembly,Canceled,2024,No Evidence,"($41,200,000)",-250,NC14,No Evidence,NA,None,https://www.electrive.com/2024/03/27/canoo-takes-over-arrivals-production-equipment/,"Charlotte Microfactory, Charlotte, NC",35.226761,-80.845876
3/27/24,Arrival,Arrival,High Voltage Battery Module Assembly Plant,Update,Charlotte,NC,Batteries,Modules,Canceled,2024,No Evidence,"($11,500,000)",-150,NC14,No Evidence,NA,None,https://www.electrive.com/2024/03/27/canoo-takes-over-arrivals-production-equipment/,"High Voltage Battery Module Assembly Plant, Charlotte, NC",35.2237867,-80.8411413
3/27/24,Arrival,Arrival,Rock Hill Microfactory,Update,Rock Hill,SC,Multiple Classes,Vehicle Assembly,Canceled,2024,No Evidence,"($46,000,000)",-240,SC05,No Evidence,NA,None,https://www.electrive.com/2024/03/27/canoo-takes-over-arrivals-production-equipment/,"Rock Hill Microfactory, Rock Hill, SC",34.941355,-81.0300374
3/27/24,Ford Motor Company,Ford,Rouge Electric Vehicle Center,Update,Dearborn,MI,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2024,Good Evidence,NA,-1400,MI12,Good Evidence,$0,None,https://www.freep.com/story/money/cars/ford/2024/03/27/ford-rouge-electric-vehicle-center-dearborn-cuts/73117641007/,"Rouge Electric Vehicle Center, Dearborn, MI",42.307175,-83.161995
3/26/24,AESC,AESC,Florence Gigafactory - Factory 2,Original,NA,SC,Batteries,Cells,Canceled,2027,No Evidence,"$1,500,000,000",1080,NA,No Evidence,$0,None,"https://governor.sc.gov/news/2024-03/aesc-grows-florence-county-operations-second-expansion-4-months#:~:text=COLUMBIA%2C%20S.C.%20%E2%80%93%20AESC%2C%20a,will%20create%201%2C080%20new%20jobs.","Florence Gigafactory - Factory 2, NA, SC",34.195772,-79.761968
3/20/24,Graphite One,Graphite One,Graphite One Secondary Treatment Plant,Original,Warren,OH,Minerals,Anode Materials,Planned,2028,No Evidence,"$435,000,000",160,OH14,No Evidence,$0,None,https://www.graphiteoneinc.com/graphite-one-selects-ohios-voltage-valley-for-graphite-anode-material-manufacturing-plant/,"Graphite One Secondary Treatment Plant, Warren, OH",41.236121,-80.816186
3/20/24,H&T,H&T,De Soto Facility,Original,Kansas City,KS,Batteries,Cells,Planned,2025,No Evidence,"$110,000,000",180,NA,No Evidence,$0,None,https://www.kansascommerce.gov/2024/03/governor-kelly-announces-ht-recharge-investing-110m-creating-180-jobs-as-new-panasonic-supplier/,"De Soto Facility, Kansas City, KS",39.1127,-94.626804
3/14/24,Lithium Americas,Lithium Nevada,Thacker Pass (JV),Update,NA,NV,Minerals,Lithium,Under Construction,2026,No Evidence,"$275,000,000",180,NA,No Evidence,"$1,130,000,000",Loan Programs Office (LPO),https://www.energy.gov/lpo/articles/lpo-announces-conditional-commitment-lithium-americas-corp-help-finance-construction,"Thacker Pass (JV), NA, NV",41.6999,-118.07293
3/14/24,Lithium Americas,Lithium Nevada,Thacker Pass (JV),Update,NA,NV,Minerals,Lithium,Under Construction,2026,No Evidence,"$335,000,000",NA,NA,No Evidence,NA,Loan Programs Office (LPO),https://lithiumamericas.com/news/news-details/2024/Lithium-Americas-Provides-a-Thacker-Pass-Construction-Plan-Update/default.aspx,"Thacker Pass (JV), NA, NV",41.6999,-118.07293
3/13/24,Advanced Nano Products,Advanced Nano,Hardin County Manufacturing Facility,Update,Elizabethtown,KY,Batteries,Electrolytes and Electrolyte Inputs,Under Construction,2024,No Evidence,NA,NA,KY02,No Evidence,$0,None,https://eifky.org/anp-usa/,"Hardin County Manufacturing Facility, Elizabethtown, KY",37.695903,-85.863066
3/12/24,General Motors,General Motors,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2024,Good Evidence,NA,450,OH14,No Evidence,NA,Loan Programs Office (LPO),https://www.tribtoday.com/news/local-news/2024/03/former-gm-lordstown-plant-workers-get-details-about-transfer/,"Ultium Cells Warren (JV), Lordstown, OH",41.152153,-80.863677
3/12/24,LG Corporation,LG Energy Solution,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2024,Good Evidence,NA,450,OH14,No Evidence,NA,Loan Programs Office (LPO),https://www.tribtoday.com/news/local-news/2024/03/former-gm-lordstown-plant-workers-get-details-about-transfer/,"Ultium Cells Warren (JV), Lordstown, OH",41.152153,-80.863677
3/11/24,Blink Charging,Blink Charging,SemaConnect Manufacturing Facility,Update,Bowie,MD,EV Charging,Charging Units,Operational,2024,No Evidence,NA,90,MD05,No Evidence,$0,None,https://www.washingtoninformer.com/blink-charging-md-climate-jobs/,"SemaConnect Manufacturing Facility, Bowie, MD",38.943547,-76.730278
3/7/24,Rivian,Rivian,Georgia Manufacturing Plant,Update,Social Circle,GA,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2026,No Evidence,NA,NA,GA10,Good Evidence,NA,Loan Programs Office (LPO),https://www.nytimes.com/2024/03/07/business/economy/rivian-georgia-factory.html,"Georgia Manufacturing Plant, Social Circle, GA",33.656194,-83.718567
3/6/24,LT Precision,LT Precision,Michigan Manufacturing & HQ,Original,Holland,MI,Batteries,Battery Pack Components,Planned,NA,No Evidence,"$43,200,000",70,MI04,No Evidence,$0,None,https://www.michigan.gov/whitmer/news/press-releases/2024/03/06/whitmer-announces-70-new-jobs-coming-to-holland-by-korea-based-lt-precision,"Michigan Manufacturing & HQ, Holland, MI",42.251639,-83.295436
3/1/24,Piston,Piston,Piston Motors Auburn Hills Parts Facility,Original,Auburn Hills,MI,Parts,Other Electrification Components,Under Construction,NA,No Evidence,"$278,000,000",963,MI11,No Evidence,$0,None,https://www.michigan.gov/mdot/news-outreach/pressreleases/2024/03/01/transportation-grant-will-support-redevelopment-efforts-at-site-of-former-palace-of-auburn-hills,"Piston Motors Auburn Hills Parts Facility, Auburn Hills, MI",42.63364,-83.22271
2/29/24,UBE,UBE,Waggaman Manufacturing Facility,Update,Waggaman,LA,Batteries,Electrolytes and Electrolyte Inputs,Under Construction,2026,No Evidence,NA,47,LA02,No Evidence,$0,None,https://www.opportunitylouisiana.gov/project/10951,"Waggaman Manufacturing Facility, Waggaman, LA",29.952499,-90.233311
2/26/24,Schaeffler,Schaeffler,Dover Manufacturing Facility,Original,Dover,OH,Parts,Electric Axles,Planned,2025,No Evidence,"$230,000,000",450,OH06,No Evidence,$0,None,https://www.schaeffler.com/en/media/press-releases/press-releases-detail.jsp?id=88008960,"Dover Manufacturing Facility, Dover, OH",40.24673,-83.30464
2/26/24,"Toyota Motor Company, Fujihatsu",Fujihatsu & Toyotsu Battery Components,Liberty Battery Components Plant,Original,Liberty,NC,Batteries,Battery Enclosures,Under Construction,2025,No Evidence,"$60,000,000",133,NA,No Evidence,$0,None,https://www.taiamerica.com/fujihatsu-tech-and-toyota-tsusho-america-establish-joint-venture-in-the-us-to-manufacture-prismatic-cell-cases-and-cell-covers-for-automotive-batteries/,"Liberty Battery Components Plant, Liberty, NC",35.853638,-79.570561
2/22/24,Cirba Solutions,Cirba Solutions,Lancaster Recycling Plant,Update,Lancaster,OH,Battery Recycling,Remanufacturing; Lithium Carbonate,Operational,2024,No Evidence,"$150,000,000",NA,OH12,No Evidence,NA,Battery Materials Processing and Battery Manufacturing Recycling Grants,"https://www.cirbasolutions.com/cirba-solutions-hosts-u-s-doe-showcasing-leadership-in-critical-materials-infrastructure/#:~:text=Cirba%20Solutions%20is%20investing%20more%20than%20%24400%20million%20in%20the,than%20100%20new%20generational%20jobs.","Lancaster Recycling Plant, Lancaster, OH",39.712185,-82.610422
2/16/24,Jing-Jin,Jing-Jin,Farmington Hills Manufacturing Facility,Original,Farmington Hills,MI,Parts,EV Drive Units; Power Electronics,Planned,NA,No Evidence,"$16,500,000",100,MI11,No Evidence,$0,None,https://www.areadevelopment.com/newsitems/2-22-2024/jing-jin_electric-north-america-farmington-hills-michigan.shtml,"Farmington Hills Manufacturing Facility, Farmington Hills, MI",42.484674,-83.359179
2/12/24,Jasper Holdings,Weller Truck Parts,Wyoming Remanufacturing Facility,Original,Wyoming,MI,Parts,Electric Axles,Under Construction,2024,No Evidence,NA,NA,MI03,No Evidence,$0,None,https://www.truckpartsandservice.com/business/mergers-acquisitions/article/15663960/weller-truck-acquires-cuttingedge-manufacturing-facility,"Wyoming Remanufacturing Facility, Wyoming, MI",42.913415,-85.695442
2/9/24,Volvo Group,Mack Trucks,Roanoke Valley Operations,Original,Salem,VA,Medium-Duty (Class 3-6),Vehicle Assembly,Operational,2025,No Evidence,NA,NA,VA09,No Evidence,$0,None,https://www.macktrucks.com/mack-news/2024/mack-invests-14-5-million-in-roanoke-valley-operations-expansion,"Roanoke Valley Operations, Salem, VA",37.261928,-80.145252
2/6/24,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Kentucky,Expansion 2,Georgetown,KY,Batteries,Packs,Planned,2025,No Evidence,"$650,000,000",NA,KY06,No Evidence,$0,None,https://pressroom.toyota.com/toyota-bringing-battery-electric-vehicle-production-to-kentucky/,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",38.25752,-84.547617
2/6/24,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Kentucky,Expansion 2,Georgetown,KY,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2025,No Evidence,"$650,000,000",NA,KY06,No Evidence,$0,None,https://pressroom.toyota.com/toyota-bringing-battery-electric-vehicle-production-to-kentucky/,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",38.25752,-84.547617
2/6/24,ZF Fridrichshafen AG,ZF,ZF Gray Court,Original,Gray Court,SC,Parts,Electric Powertrains,Under Construction,2025,No Evidence,"$500,000,000",400,SC03,No Evidence,$0,None,https://press.zf.com/press/en/releases/release_65730.html,"ZF Gray Court, Gray Court, SC",34.670105252341,-82.079978044111
1/31/24,Livingston Energy,Livingston Energy,Rotterdam Manufacturing Facility,Original,Schenectady,NY,EV Charging,Charging Units,Planned,NA,No Evidence,NA,NA,NY20,No Evidence,$0,None,https://www.dailygazette.com/news/livingston-energy-group-expanding-to-rotterdam-industrial-park/article_d8f6feec-ce3d-57a3-9a12-9bcc25c53493.html,"Rotterdam Manufacturing Facility, Schenectady, NY",42.786739,-73.971003
1/25/24,Redwood Materials,Redwood Materials,South Carolina Battery Materials Campus,Update,Charleston,SC,Battery Recycling,Remanufacturing; Cathode Materials,Operational,2024,No Evidence,NA,NA,SC01,No Evidence,$0,None,https://charlestonbusiness.com/works-begins-on-3-5b-ev-battery-plant-in-berkeley-county/,"South Carolina Battery Materials Campus, Charleston, SC",32.77647,-79.931027
1/22/24,TAB,TAB,Liberty Manufacturing Facility & HQ,Original,Liberty,MO,Batteries,Packs,Under Construction,2024,No Evidence,"$7,500,000",25,MO06,No Evidence,$0,None,https://ded.mo.gov/press-room/tab-establish-first-us-headquarters-facility-liberty-creating-50-jobs,"Liberty Manufacturing Facility & HQ, Liberty, MO",39.244739,-94.418465
